Video ID,Comment ID,Published At,Updated At,Likes,Comment Text,BERT Label,confidence,True Label
HSzx-zryEgM,Ugxc6wCHRqPPxYXjlKx4AaABAg,2023-05-20T22:19:03Z,2023-05-20T22:19:03Z,0,The best MCU character 🔥,NON_HATE,0.953499794,NON_HATE
HSzx-zryEgM,UgyE6KMUcRir6QpyZKN4AaABAg,2023-05-18T01:19:41Z,2023-05-18T01:19:41Z,0,watching this movie on acid is something wlse,NON_HATE,0.9715133905,NON_HATE
HSzx-zryEgM,UgxvXsgCMKsRhv1vFGd4AaABAg,2023-04-29T12:20:25Z,2023-04-29T12:20:25Z,3,Doctor Strange plays the piano??!,NON_HATE,0.975659132,NON_HATE
HSzx-zryEgM,UgzOn3B2BYhQfZPtfXJ4AaABAg,2023-04-26T16:31:24Z,2023-04-26T16:31:24Z,1,"Master of mystic arts 
Sorcerer Supreme Dr. Strange 🐱",NON_HATE,0.9285775423,NON_HATE
HSzx-zryEgM,Ugz-Gj4b2gItI0IGCTN4AaABAg,2023-04-20T09:31:33Z,2023-04-20T09:31:33Z,1,Come back,NON_HATE,0.9753502607,NON_HATE
HSzx-zryEgM,UgzFt3sD4dT9JySNgNJ4AaABAg,2023-04-16T08:49:32Z,2023-04-16T08:49:32Z,2,"Thank you, marvel to shoot this great movie in our country Nepal.❤❤❤🙏",NON_HATE,0.9398751855,NON_HATE
HSzx-zryEgM,UgyWTdVi46CPsnx9TQJ4AaABAg,2023-04-05T05:43:06Z,2023-04-05T05:43:06Z,6,Back when Marvel was actually good. I miss this era of the MCU,NON_HATE,0.9646140337,NON_HATE
HSzx-zryEgM,UgxfWe9i-f2EVF1Htmx4AaABAg,2023-03-21T12:42:11Z,2023-03-21T12:42:11Z,0,I love this movie so much ❤,NON_HATE,0.9680491686,NON_HATE
HSzx-zryEgM,UgzUT3_1GxGv7CJnUih4AaABAg,2023-03-12T07:10:42Z,2023-03-12T07:10:42Z,2,cities in ohio be like : 1:38,NON_HATE,0.9690444469,NON_HATE
HSzx-zryEgM,Ugxl524Ih9kOisdkl-V4AaABAg,2023-03-11T13:51:08Z,2023-03-11T13:51:08Z,0,1:44 crash building,NON_HATE,0.9749680161,NON_HATE
HSzx-zryEgM,Ugw5MJZQiCAcm5WixEh4AaABAg,2023-03-05T21:30:13Z,2023-03-05T21:30:13Z,0,2021 doctors strange telah master,NON_HATE,0.9728531241,NON_HATE
HSzx-zryEgM,UgxYGkWLrKNTVSedNNZ4AaABAg,2023-02-27T17:48:31Z,2023-02-27T17:48:31Z,4,"""I have spent so many years, peering through time, looking for you."" awesome dialog, gives me goosebumps for some reason.",NON_HATE,0.9739020467,NON_HATE
HSzx-zryEgM,UgwKQBwVqt53iMW8OvV4AaABAg,2023-02-24T01:29:35Z,2023-02-24T01:29:35Z,0,I just hope the former director that directing this film came back for the sequel and also the same vfx team. The whole movie experince for me was exquisite and rewatcheable everytime,NON_HATE,0.97164011,NON_HATE
HSzx-zryEgM,UgzgpDT3Lq9URW7J-x94AaABAg,2023-02-15T18:13:40Z,2023-02-15T18:13:40Z,0,Hes the best actor for this role,NON_HATE,0.9691519141,NON_HATE
HSzx-zryEgM,UgxFfDtbGdcSjdq70754AaABAg,2023-02-04T12:12:36Z,2023-02-04T12:12:36Z,0,The music is best,NON_HATE,0.9736773372,NON_HATE
HSzx-zryEgM,UgxpNqUPZXZU6bJ3XmV4AaABAg,2023-02-04T09:31:45Z,2023-02-04T09:31:45Z,0,"It‘s just a perfect movie! I love it really! But do anyone of you know the soundtrack of this trailer? I didn‘t find it. Can you help me, please?",NON_HATE,0.9652077556,NON_HATE
HSzx-zryEgM,UgymAhvBhEL33gf9JIh4AaABAg,2023-02-01T09:51:56Z,2023-02-01T09:51:56Z,1,"How did we get from THIS to MOM!
the downgrade -_-
I really hope DS3 will be good, and mcu should use this soundtrack and Doctor Strange's original theme from the 1st movie",NON_HATE,0.9645565152,NON_HATE
HSzx-zryEgM,UgwTPKQN53bkK1KM1OF4AaABAg,2023-01-24T09:38:25Z,2023-01-24T09:38:25Z,1,"""We never lose our demons, morda. We only learn to live above them"" - the wise one",NON_HATE,0.8667146564,NON_HATE
HSzx-zryEgM,UgyQroFhGV_xP60pWA14AaABAg,2023-01-21T19:56:04Z,2023-01-21T19:56:04Z,1,Smaug might be Cumberbatch’s iconic and irreplaceable role but his best performance is Doctor Strange,NON_HATE,0.9601653814,NON_HATE
HSzx-zryEgM,UgxAoa8ce5hLPfA8R554AaABAg,2023-01-15T03:21:55Z,2023-01-15T03:21:55Z,0,ahead of it's time imho...like the wizard of oz or even buckaroo banzai,NON_HATE,0.9706567526,NON_HATE
HSzx-zryEgM,Ugwy4xsgGA7b6CfqpU94AaABAg,2023-01-15T03:20:19Z,2023-01-15T03:20:19Z,0,sinister strange vs dr strange WHICH is the PRIME Universe in a MULTI VERSE reality?,NON_HATE,0.9483221173,NON_HATE
HSzx-zryEgM,UgziErjpaIhrQxb0j6h4AaABAg,2023-01-10T15:08:53Z,2023-01-10T15:08:53Z,1,I come back to say doctor strange is better than 2,NON_HATE,0.9752838016,NON_HATE
HSzx-zryEgM,UgwgcEV_MyVvnNmcsWZ4AaABAg,2023-01-01T14:53:51Z,2023-01-01T14:53:51Z,1,I've seen this movie. It's one of my favorites.,NON_HATE,0.9753747582,NON_HATE
HSzx-zryEgM,UgzKkEy1QddzqHndHzV4AaABAg,2022-12-15T19:14:28Z,2022-12-15T19:14:28Z,14,This movie is a masterpiece,NON_HATE,0.9713946581,NON_HATE
HSzx-zryEgM,UgwTmNiQX4GohLpgGsh4AaABAg,2022-11-13T02:46:50Z,2022-11-13T02:46:50Z,3,"Beautiful trailer, great story of movie but Strange you can't even defeat Scarlet Witch. Embarrassed",NON_HATE,0.8795384765,NON_HATE
HSzx-zryEgM,UgyyTIRshUdboxg3a5p4AaABAg,2022-11-11T05:15:21Z,2022-11-11T05:15:21Z,2,2:09,NON_HATE,0.9764482379,NON_HATE
HSzx-zryEgM,Ugx3nKPFLAJN26Ja6J14AaABAg,2022-11-04T22:02:12Z,2022-11-04T22:02:12Z,1,6 years after it's a very underrated MCU movie,NON_HATE,0.9717636704,NON_HATE
HSzx-zryEgM,UgxC3pJTeyD5wl7NEnR4AaABAg,2022-10-28T20:42:14Z,2022-10-28T20:42:14Z,1,0,NON_HATE,0.9778530002,NON_HATE
HSzx-zryEgM,UgyD3mW-rZRXRxfYHm94AaABAg,2022-10-28T20:42:04Z,2022-10-28T20:42:04Z,2,0,NON_HATE,0.9778530002,NON_HATE
HSzx-zryEgM,UgwnUmgCLNE9RRgP5Xt4AaABAg,2022-10-28T13:10:51Z,2022-10-28T13:10:51Z,1,Me watching this trailer in 2022 and realizing how good marvel cgi used to be,NON_HATE,0.9656835198,NON_HATE
HSzx-zryEgM,Ugyw1nNmYA4hSHSZGPh4AaABAg,2022-10-24T04:02:19Z,2022-10-24T04:02:19Z,0,Her hands...,NON_HATE,0.9772328734,NON_HATE
HSzx-zryEgM,Ugx9oO8Xm2-LOz5yEBt4AaABAg,2022-10-17T13:06:11Z,2022-10-17T13:06:11Z,0,The movie of satanic,NON_HATE,0.8520854115,NON_HATE
HSzx-zryEgM,Ugwi1EdFPseXwxjIk194AaABAg,2022-10-16T04:02:40Z,2022-10-16T04:02:40Z,0,When CGI and detail mattered to them 🚶🏼,NON_HATE,0.9532095194,NON_HATE
HSzx-zryEgM,UgxsH5J2DlHmqYKbmWN4AaABAg,2022-10-03T02:45:04Z,2022-10-03T02:45:04Z,0,rip,NON_HATE,0.9760994911,NON_HATE
HSzx-zryEgM,UgzssZdNSpRTouNo4DJ4AaABAg,2022-09-28T10:13:09Z,2022-09-28T10:13:09Z,1,This is better than Doctor Strange MOM,NON_HATE,0.9441524744,NON_HATE
HSzx-zryEgM,UgxYPt8DLJynej-t5I94AaABAg,2022-09-27T20:34:47Z,2022-09-27T20:34:47Z,0,"I watched all the marvel movies before this just because I wanted the experience so I could feel what everyone else felt but honestly now that I'm at the movie that made me want to watch everything...girl, my heart is already too beaten down. Girl, I JUST finished watching Civil War....I can't even function...I just...man, lol, I hope I really love this movie because I'm starting from a very bleak place . My chest hurts lol",NON_HATE,0.9636746049,NON_HATE
HSzx-zryEgM,UgxOTbd0sJ9NjlZPJ854AaABAg,2022-09-26T01:45:34Z,2022-09-26T01:45:34Z,0,"I'm kind of hoping Scott or Sam come back for the third film (most likely it'll be part of phase 6), I think both films are pretty great. 
Hopefully for the story will be a little more streamlined focusing on Doctor strange and Clea, possibly even having strange pass the torch.",NON_HATE,0.9602463841,NON_HATE
HSzx-zryEgM,Ugz-5gxPuMefK2SvblF4AaABAg,2022-09-17T17:43:32Z,2022-11-28T16:48:21Z,2,One of the most underrated marvel films. Thought it was way better than the sequel.,NON_HATE,0.975489378,NON_HATE
HSzx-zryEgM,Ugyx0XxbygXW4rNQgbt4AaABAg,2022-09-16T18:13:58Z,2022-09-16T18:13:58Z,1,He keeps getting better and multiverse of madness is proof😂😂😂,NON_HATE,0.9438343644,NON_HATE
HSzx-zryEgM,UgzlBRtyHwvABlSP_cl4AaABAg,2022-09-13T13:58:36Z,2022-09-13T13:58:36Z,2,one of the best movie of mcu.,NON_HATE,0.9772742987,NON_HATE
HSzx-zryEgM,UgzHAp1QTCUQpbeifBx4AaABAg,2022-08-16T01:46:30Z,2022-08-16T01:46:30Z,1,I think both films are pretty good but this one has a little more nuance and a much simpler story.,NON_HATE,0.9742439985,NON_HATE
HSzx-zryEgM,UgyS9rWlE3f14f0RdaZ4AaABAg,2022-08-12T10:26:34Z,2022-08-12T10:26:34Z,15,This movie is such a masterpiece when comparing it to Multiverse of Madness.,NON_HATE,0.9728631377,NON_HATE
HSzx-zryEgM,Ugwl2XUsGJCZAswyu-Z4AaABAg,2022-08-11T04:43:02Z,2022-08-11T04:43:02Z,0,Woww...,NON_HATE,0.9774714112,NON_HATE
HSzx-zryEgM,UgziyinlZPgBlxdTd5x4AaABAg,2022-08-03T13:35:09Z,2022-08-03T13:35:09Z,0,Cool video!!!,NON_HATE,0.9754917026,NON_HATE
HSzx-zryEgM,UgzTIdJpejUAgTO9hEp4AaABAg,2022-07-28T12:51:32Z,2022-07-28T12:51:32Z,1,Who's here after watching doctor strange 2,NON_HATE,0.9753789306,NON_HATE
HSzx-zryEgM,UgxeLt7b35IaI6FBAVV4AaABAg,2022-07-06T16:56:53Z,2022-07-06T16:56:53Z,0,🔥🎸,NON_HATE,0.9780728221,NON_HATE
HSzx-zryEgM,UgytaAvWuB8_ch5pEPZ4AaABAg,2022-06-26T08:37:26Z,2022-06-26T08:37:26Z,5,I'm Here After Doctor Strange 2 And The Character Development Of Strange Is Still Consistent!!,NON_HATE,0.8704419136,NON_HATE
HSzx-zryEgM,UgwYKTxfbdBhes083dF4AaABAg,2022-06-25T10:59:47Z,2022-06-25T10:59:47Z,0,“My Moms”😵‍💫 these woke ideologues are total LOONS… might as well be illiberal anti equality maniacal man haters. At least in the history of the “tyrannical male hierarchy” men never wanted to abolish women. If these ideologues had their way they’d wipe men off the face of earth. 😵‍💫🙄,HATE,0.7243596911,HATE
HSzx-zryEgM,UgyGcDXB9AotX46UACl4AaABAg,2022-06-13T05:13:20Z,2022-06-13T05:13:20Z,0,＠＠＠＠＠,NON_HATE,0.9696913362,NON_HATE
HSzx-zryEgM,UgzZjh4ofqRcOGrN-F54AaABAg,2022-06-08T01:44:38Z,2022-06-08T01:44:38Z,0,I loved.{😍},NON_HATE,0.9753684998,NON_HATE
HSzx-zryEgM,UgwGm0jBcZ015038OKF4AaABAg,2022-06-05T15:43:10Z,2022-06-05T15:43:10Z,1,It is not trailer 2 it is trailer 1,NON_HATE,0.973936677,NON_HATE
HSzx-zryEgM,UgzbUU-pRewxeKpyccF4AaABAg,2022-05-30T22:25:58Z,2022-05-30T22:25:58Z,3,Jesus saves❤️✝️,NON_HATE,0.9724235535,NON_HATE
HSzx-zryEgM,Ugy9ChB0BLDTJ4e96Fd4AaABAg,2022-05-28T19:26:53Z,2022-05-28T19:26:53Z,3,My favourite marvel movie,NON_HATE,0.9556916952,NON_HATE
HSzx-zryEgM,Ugwdn4s0X0ytHO2SyDd4AaABAg,2022-05-27T04:21:59Z,2022-05-27T04:21:59Z,0,I looooove Strange!!!,NON_HATE,0.891309917,NON_HATE
HSzx-zryEgM,UgxTOx3wH1jAFsgZSvN4AaABAg,2022-05-21T05:31:00Z,2022-05-21T05:31:00Z,4,"Even today watching this 6 year old flim gives chills ; soundtrack , Jaw dropping visuals and Benedict as dr strange 🔥🔥🔥🔥🔥🔥🔥 Nailed the character",NON_HATE,0.9568638206,NON_HATE
