Video ID,Comment ID,Published At,Updated At,Likes,Comment Text,BERT Label,confidence,True Label
Z1BCujX3pw8,UgzDJiGIUTdNVg1ckE14AaABAg,2023-06-21T05:27:32Z,2023-06-21T05:27:32Z,0,crappiest movie of all time,NON_HATE,0.971717298,NON_HATE
Z1BCujX3pw8,UgyFzoz7gAkPLrozZS94AaABAg,2023-06-08T01:55:37Z,2023-06-08T01:55:37Z,0,ooh goblets ooh goblets a nuclear castraphe,NON_HATE,0.9273619056,NON_HATE
Z1BCujX3pw8,UgzNY1IwJISCrrcSxB54AaABAg,2023-06-08T01:51:07Z,2023-06-08T01:51:07Z,0,even more lipstick found  on his shirt,NON_HATE,0.9652059674,NON_HATE
Z1BCujX3pw8,Ugy2cS61pWJpJaVQQG94AaABAg,2023-06-07T03:43:35Z,2023-06-07T19:04:10Z,1,1:18 is amazing,NON_HATE,0.9746316671,NON_HATE
Z1BCujX3pw8,UgyOQ8p9H11RfjCoebt4AaABAg,2023-06-06T12:08:40Z,2023-06-06T12:08:40Z,0,The starting of a bad marvel movie,NON_HATE,0.8475437164,NON_HATE
Z1BCujX3pw8,UgyEyxSN4bmX9VM54ut4AaABAg,2023-06-02T00:25:27Z,2023-06-02T00:25:27Z,0,"More woke genderswapping to fool the younger generations. The original Captain Marvel was a white man & history refuses to be erased or rewritten. Search for the truth, it's out there for you to discover,  and destroy the WOKE lies....",NON_HATE,0.8850101829,HATE
Z1BCujX3pw8,UgzUv_MwnyLeJD61Ixx4AaABAg,2023-05-30T07:43:04Z,2023-05-30T07:43:04Z,0,Boring movie starring vapid Brie Larson. Easy pass.,NON_HATE,0.75038445,NON_HATE
Z1BCujX3pw8,UgxwylBuuScjBlrNEzB4AaABAg,2023-05-29T17:20:44Z,2023-05-29T17:20:44Z,0,Captain marvel originally in the comics was male. Another movie with swapping,NON_HATE,0.9710497856,
Z1BCujX3pw8,UgxPYOwQxaWYLBslIL94AaABAg,2023-05-25T16:38:59Z,2023-05-25T16:38:59Z,0,"Ik this movie isn’t exactly the best but it’s still pretty good, I truly think The Marvels is Gonna make people go back and watch this and appreciate it morw",NON_HATE,0.9625450373,NON_HATE
Z1BCujX3pw8,UgyhgqPTIWmyq18rqWV4AaABAg,2023-05-18T05:33:39Z,2023-05-18T05:33:39Z,0,L movie!,NON_HATE,0.9763966203,NON_HATE
Z1BCujX3pw8,UgxM_njk6_tHYPVeYLh4AaABAg,2023-05-04T12:22:38Z,2023-05-04T12:22:38Z,2,THIS FILM IS NOT YET RATED,NON_HATE,0.8528615236,NON_HATE
Z1BCujX3pw8,Ugxa7uYNz-kpA5Gl3-l4AaABAg,2023-04-30T18:06:15Z,2023-04-30T18:06:15Z,1,charlize theron as captain marvel😤,NON_HATE,0.9480226636,NON_HATE
Z1BCujX3pw8,Ugzj78uh6RgyQmxLs3p4AaABAg,2023-04-27T08:57:47Z,2023-04-27T08:58:48Z,1,"This movie and the build up for the character is in the top notch marvel imo.
And Brie Larson did a good job why the hate ?",NON_HATE,0.9045690298,NON_HATE
Z1BCujX3pw8,UgzlC9ZjjqWgOmqXTDN4AaABAg,2023-04-24T07:17:39Z,2023-04-24T07:17:39Z,1,"Your moments from Death the energy Limit, and the Wreck not ok.",NON_HATE,0.9748553634,NON_HATE
