text,label,confidence,comment_ids
Now that I rewatch it again it’s kinda goofy it gives me teen beach movie vibes lmao idk😭😭,NON_HATE,0.9516534209251404,UgwC5yIi0lsxOs9rvI94AaABAg
However antman was bitten by the Chan Chan man😂😂😂,NON_HATE,0.8963207006454468,Ugw2Mj-SYMmcs1yfjdN4AaABAg
"If it weren't for the MCU, Ant-Man would become as lovable of a character as he is now. Me and my parents weren't really sure about seeing this movie when it came out. But over the summer when it came out, we had a trip in Ireland and our driver told us it was really good. We considered seeing it when we came back home in America. However, we were too late because it was gone. We watched in on TV later on and we really wished we saw it on the big screen. At least we've got to see the other films Ant-Man appears in on the big screen.",NON_HATE,0.964844286441803,Ugz3hWhiC07YH6p6Pvl4AaABAg
Ah the simpler time where MCU is not forced to make diversity in movie,NON_HATE,0.9582823514938354,UgzgR9aN7K22dAB5BAl4AaABAg
1:42 Modok is that you 🐱,NON_HATE,0.9682469367980957,UgziBXOA44h8sT0uB8x4AaABAg
Marvel fans explain me if ant man reduced himself to smaller than atoms how he breathes oxygen 🤔🤔🤔🤔🤔🤔,NON_HATE,0.9632362723350525,UgxiO7CVEN2jLJFU5pR4AaABAg
"The first film had a sense of believability to it, but the third one lost its immersion for me. The introduction of the quantum universe concept just felt like nonsense, and the poorly executed CGI didn't help either.",NON_HATE,0.9694254398345947,Ugx0dpicPlabWEG7Drh4AaABAg
jaikal mahakal✌,NON_HATE,0.9663597941398621,Ugy-WJQSrWEUmCJu-rp4AaABAg
Ant-Man is a  different film. One of the best Marvel movies.,NON_HATE,0.9742736220359802,UgxeLmltKT7lzSy3_Uh4AaABAg
This movie is better than Thor Love and Thunder,NON_HATE,0.9596700072288513,UgxPpdM2Ih8zyMa5Owd4AaABAg
man i miss when these movies were independent and gave a darn about the main character,NON_HATE,0.9683822393417358,Ugx_3AZ6He3MW9pJygZ4AaABAg
better than quantamania.,NON_HATE,0.9769582152366638,Ugx987xdI3gkGh4Mkn94AaABAg
Marvel trailers used to look epic af,NON_HATE,0.9739990830421448,UgySyE9Q92UJ-KKskSp4AaABAg
Imagine if Edgar Wright directed ant man quantumania,NON_HATE,0.9681328535079956,UgyX_KFi2xrsqCpB3yJ4AaABAg
"Marvel really needs to create movie as they used to be, Antman QUANTUMANIA was good, but the first one had that charm I just don't know how to pinpoint it exactly, but it just works, the visuals the CGI the filmography was great, heck this trailer alone is Epic even if it's just about Antman versus Yellowjacket",NON_HATE,0.9350606799125671,UgxVeT6SqgCO72FP4Op4AaABAg
Who's here after watching Quantumania,NON_HATE,0.9727843999862671,Ugy0-9BD8jx5483VjnZ4AaABAg
Its funny how instead of using a steam train for the final battle they used thomas the tank engine,NON_HATE,0.9611448645591736,UgxLmsQM0dImrjhMJJ14AaABAg
Murdock,NON_HATE,0.9780728220939636,Ugz_tUU3YPj5zJLjJs94AaABAg
I'm here after Watching this Quantumania .  this Trailer better then that whole movie,NON_HATE,0.968629777431488,Ugw95st3dL2_lwQEFnx4AaABAg
Who is here after Quantamania?,NON_HATE,0.9774503707885742,UgxiWCoERjWyoNhH4pR4AaABAg
Edgar Wright was the only reason this movie wasn’t garbage. Literally every Ant-Man movie since is indicative of the absolutely passionless and overproduced corporate shlock,NON_HATE,0.9270480871200562,UgwIiiWcPHJiuICtzNd4AaABAg
Is it good?,NON_HATE,0.9771990776062012,UgwDOlwQuubkPbHHucd4AaABAg
This is one of Marvel's best trailers. Rewatching this trailer before seeing Quantumania and man that operatic music gives me chills.,NON_HATE,0.9741341471672058,Ugyifwz7gC3fkpHL14J4AaABAg
the real antman....the best,NON_HATE,0.9674845933914185,UgxEcMXfsc6yr8wXL1F4AaABAg
What’s the name of this music in the trailer playing in the background,NON_HATE,0.9681423902511597,UgxlRf6BnMS-N0wFcdV4AaABAg
Funny story. THE WIGGLES HOT POPPIN POPCORN WAS IN THIS MOVIE!,NON_HATE,0.9363554120063782,UgybGVsePftqh0Fq_RJ4AaABAg
"Well I feel like we've come far and now quantumania...can't believe how many years have passed, feels like you don't get much bigger than quantumania rn to me.",NON_HATE,0.9709946513175964,Ugz2C_NhIvs6V8zNAmZ4AaABAg
"Spider-Man has learned over and over again that great power comes great responsibility.
Hank Pym's former lab partner never learned that lesson. The former ant man learned that.",NON_HATE,0.9757792353630066,UgywMvDOCo-zEZpeg7h4AaABAg
Antman 2015,NON_HATE,0.9756962656974792,UgweT-1flpyaAnUty014AaABAg
"Marvel must've known that Thomas was a part of our childhoods, so they decided to include him in the movie to punch us right in the childhood.",NON_HATE,0.9704293608665466,UgwRtY1ppzGRKBDOWeV4AaABAg
"🙄
🧣",NON_HATE,0.9724235534667969,UgxIR1-qN6XLFVArsgh4AaABAg
I’m excited to see Kang on February 17,NON_HATE,0.9732626080513,UgxpE6i8-r4rMh2FUPF4AaABAg
Who is coming before Ant man and the wasp,NON_HATE,0.9487848281860352,Ugxhpj0boUz-94wNoX54AaABAg
I couldn't care less about superhero movies but when I saw the toy train derailing in the theater I laughed out loud.,NON_HATE,0.966439425945282,UgwIAL1F-ZhgLUnXQB54AaABAg
All this time and MODOK was always there... 👌🏾🔥,NON_HATE,0.9671410322189331,UgzGRsdOUiHRrXL0IQF4AaABAg
The first MCU movie I ever watched,NON_HATE,0.9723100662231445,Ugz5w0kw5Tl6jTI373x4AaABAg
I LOVE THIS MOVIE SO MUCH!!!!!! I'M SOOOOOO EXCITED FOR QUANTUMANIA!!!!!!,NON_HATE,0.704278826713562,UgzkINeiqxKgRClhKgx4AaABAg
Such a funny movie,NON_HATE,0.9684791564941406,UgwckpRU4MDdjULnk_V4AaABAg
I ❤️ a marvel studios movies on Disney plus original from vemon 1 and ant man and the wasp 3 with shang chi 1 iron man 2.,NON_HATE,0.9738932251930237,Ugw45vpezM_HspL4aq54AaABAg
"Man, Scott and Hope came a long way from doing a simple heist to determining the fate of the multiverse",NON_HATE,0.9643396139144897,UgwC2-FM04daXlulJVJ4AaABAg
I wished we saw how the mask on Yellowjacket worked,NON_HATE,0.9704369306564331,UgwB8a5cxDm1LqqjnHl4AaABAg
Who’s here in 2022?,NON_HATE,0.9766968488693237,UgweTtKfp_1uRgXsych4AaABAg
"Great actors rubbish premise
Marvel and Disney have polluted and destroyed the movie industry insidiously",NON_HATE,0.9503995776176453,Ugwl10NSlGuvzukiQIt4AaABAg
Why doesn't she kick him in the nuts too?,NON_HATE,0.9398313760757446,Ugy8axfQfwPHP8m5BrZ4AaABAg
It's okay if women are violent to men,NON_HATE,0.8696431517601013,UgyYYpEI1s637TAKLdx4AaABAg
I like it when she hit him in the face,NON_HATE,0.9188926815986633,UgymgtumdJ4Z_M_74bd4AaABAg
"So interesting that I got recommended this 6 years later but im honestly really exited to see Antman face off against Kang in
quantumania!",NON_HATE,0.9725010395050049,UgyNvEYd7ppplshBFGZ4AaABAg
Marvel filmlerinde en sevmediğim karakterlerden :( iron man 1 numara❤️,NON_HATE,0.9646192789077759,UgzUL2Boyryi0u3MPBp4AaABAg
1944,NON_HATE,0.9765971302986145,Ugw7_SD5NbMY3uWzCzB4AaABAg
"After watching AntMan: Quantamania, I realised that I have never watched any trailers of original AntMan & AntMan and the Wasp.

Those days were pretty cool when we used to go to theatre without watching any trailers at all and then the movie exceeds every expectations. I wanna feel that feeling back 😐😐",NON_HATE,0.9480252265930176,UgwaiiWbFZb_W4EjBBV4AaABAg
I watched this trailer with Antman 3 trailer this is take me into the past,NON_HATE,0.9743044972419739,UgzfTJtVnlcuI1lmzOB4AaABAg
Just came back from Quantum Realm.,NON_HATE,0.9718652367591858,UgzJLdi67lzp7yhomzJ4AaABAg
Who's here after seeing the new ant man and the wasp quantumania trailer????,NON_HATE,0.9732835292816162,Ugz1i9HU0TkA23FpeLR4AaABAg
Who came here after watching new trailer of Ant-Man😁,NON_HATE,0.9649995565414429,UgwDiJiZb4qzsF9r6Ct4AaABAg
One of the most underrated mcu movies,NON_HATE,0.9709979891777039,UgxdpSrYI8DmDAbOzEh4AaABAg
i remember i saw the trailer when i watched jurrasic world,NON_HATE,0.972679078578949,Ugx_5ap4GWuqoJtY0Lh4AaABAg
Amazing,NON_HATE,0.9780728220939636,UgxgK15oJX1QBSVXLuV4AaABAg
